month,region,dose_adminstrated,population_under1,strike
2013 Jan,A,13328,183957,0
2013 Feb,A,12523,183957,0
2013 Mar,A,10051,183957,0
2013 Apr,A,9194,183957,0
2013 May,A,15985,183957,0
2013 Jun,A,13776,183957,0
2013 Jul,A,14258,183957,0
2013 Aug,A,13665,183957,0
2013 Sep,A,12909,183957,0
2013 Oct,A,15010,183957,0
2013 Nov,A,13004,183957,0
2013 Dec,A,9042,183957,0
2014 Jan,A,15770,167671,0
2014 Feb,A,13342,167671,0
2014 Mar,A,13177,167671,0
2014 Apr,A,13376,167671,0
2014 May,A,14294,167671,0
2014 Jun,A,12414,167671,0
2014 Jul,A,14689,167671,0
2014 Aug,A,13819,167671,0
2014 Sep,A,14069,167671,0
2014 Oct,A,13019,167671,0
2014 Nov,A,10625,167671,0
2014 Dec,A,8973,167671,0
2015 Jan,A,10878,174484,0
2015 Feb,A,14656,174484,0
2015 Mar,A,14211,174484,0
2015 Apr,A,12333,174484,0
2015 May,A,14706,174484,0
2015 Jun,A,14011,174484,0
2015 Jul,A,14142,174484,0
2015 Aug,A,12458,174484,0
2015 Sep,A,14184,174484,0
2015 Oct,A,12289,174484,0
2015 Nov,A,9202,174484,0
2015 Dec,A,6806,174484,0
2016 Jan,A,14044,170964,0
2016 Feb,A,16853,170497,0
2016 Mar,A,12276,170964,0
2016 Apr,A,10272,170964,0
2016 May,A,14138,170964,0
2016 Jun,A,14488,170964,0
2016 Jul,A,13560,170964,0
2016 Aug,A,14674,170964,0
2016 Sep,A,14232,170964,0
2016 Oct,A,13515,170964,0
2016 Nov,A,11911,170964,0
2016 Dec,A,10218,170964,0
2017 Jan,A,13419,179484,0
2017 Feb,A,11472,179484,0
2017 Mar,A,13439,179484,0
2017 Apr,A,12575,179484,0
2017 May,A,13926,179484,0
2017 Jun,A,7425,179484,1
2017 Jul,A,11934,179484,1
2017 Aug,A,10180,179484,1
2017 Sep,A,11993,179484,1
2017 Oct,A,11564,179484,1
2017 Nov,A,15265,179484,0
2017 Dec,A,10752,179484,0
2018 Jan,A,14106,187757,0
2018 Feb,A,11936,187757,0
2018 Mar,A,12330,187757,0
2018 Apr,A,13010,187757,0
2018 May,A,14843,187757,0
2018 Jun,A,13130,187757,0
2018 Jul,A,14066,187757,0
2018 Aug,A,14263,187757,0
2018 Sep,A,13624,187757,0
2018 Oct,A,14315,187757,0
2018 Nov,A,12496,187757,0
2018 Dec,A,9387,187757,0
2019 Jan,A,11048,192298,0
2019 Feb,A,11271,192298,0
2019 Mar,A,14253,192298,0
2019 Apr,A,13930,192298,0
2019 May,A,14802,192298,0
2019 Jun,A,12492,192298,0
2019 Jul,A,13631,192298,0
2019 Aug,A,12652,192298,0
2019 Sep,A,13905,192298,0
2019 Oct,A,11940,192298,0
2019 Nov,A,11968,192298,0
